Text,Speaker,Episode,Season,Show
"[First scene opens with three Rangers riding through a tunnel, leaving the Wall, and going into the woods. (Eerie music in background) One Ranger splits off and finds a campsite full of mutilated bodies, including a child hanging from a tree branch. A birds-eye view shows the bodies arranged in a shield-like pattern. The Ranger rides back to the other two.]",,e1-Winter is Coming,season-01,Game-of-Thrones
" What d’you expect? They’re savages. One lot steals a goat from another lot and before you know it, they’re ripping each other to pieces.",WAYMAR ROYCE,e1-Winter is Coming,season-01,Game-of-Thrones
" I’ve never seen wildlings do a thing like this. I’ve never seen a thing like this, not ever in my life.",WILL,e1-Winter is Coming,season-01,Game-of-Thrones
 How close did you get?,WAYMAR ROYCE,e1-Winter is Coming,season-01,Game-of-Thrones
 Close as any man would.,WILL,e1-Winter is Coming,season-01,Game-of-Thrones
 We should head back to the wall.,GARED,e1-Winter is Coming,season-01,Game-of-Thrones
 Do the dead frighten you?,ROYCE,e1-Winter is Coming,season-01,Game-of-Thrones
 Our orders were to track the wildlings. We tracked them. They won’t trouble us no more.,GARED,e1-Winter is Coming,season-01,Game-of-Thrones
 You don’t think he’ll ask us how they died? Get back on your horse.,ROYCE,e1-Winter is Coming,season-01,Game-of-Thrones
[GARED grumbles.],,e1-Winter is Coming,season-01,Game-of-Thrones
 Whatever did it to them could do it to us. They even killed the children.,WILL,e1-Winter is Coming,season-01,Game-of-Thrones
" It’s a good thing we’re not children. You want to run away south, run away. Of course, they will behead you as a deserter … If I don’t catch you first. Get back on your horse. I won’t say it again.",ROYCE,e1-Winter is Coming,season-01,Game-of-Thrones
"[WILL glares, but obeys. Sometime later, the three Rangers return to the campsite, which is now completely cleared.]",,e1-Winter is Coming,season-01,Game-of-Thrones
 Your dead men seem to have moved camp.,ROYCE,e1-Winter is Coming,season-01,Game-of-Thrones
 They were here.,WILL,e1-Winter is Coming,season-01,Game-of-Thrones
 See where they went.,GARED,e1-Winter is Coming,season-01,Game-of-Thrones
"[The three look around, swords drawn. They hear the wind and eerie calls. GARED finds a red cloth in the snow.]",,e1-Winter is Coming,season-01,Game-of-Thrones
 What is it?,ROYCE,e1-Winter is Coming,season-01,Game-of-Thrones
 It’s …,GARED,e1-Winter is Coming,season-01,Game-of-Thrones
"[As he speaks, a CREATURE with glowing blue eyes rises behind ROYCE. ROYCE turns, the CREATURE strikes. The scene shifts to WILL, who hears a man crying out. The three horses stampede past him. He turns and sees someone standing very still in the distance. The figure turns – it’s the child who had been suspended in the tree, now with glowing blue eyes. WILL turns and runs.",,e1-Winter is Coming,season-01,Game-of-Thrones
"GARED is also fleeing, and we hear strange growls and catch glimpses of the CREATURE. Both terrified RANGERS stop, some distance apart, to catch their breath. WILL sees a CREATURE behead GARED. WILL sinks to his knees and the CREATURE tosses GARED’S head to him.]",,e1-Winter is Coming,season-01,Game-of-Thrones
[Blackout],,e1-Winter is Coming,season-01,Game-of-Thrones
"TITLE SEQUENCE[Riders from Winterfell come up behind a dazed WILL. The scene shifts to the castle, where BRAN is practicing archery and getting frustrated, under the eyes of JON SNOW and ROBB STARK. JON pats BRAN’S shoulder.]",,e1-Winter is Coming,season-01,Game-of-Thrones
 Go on. Father’s watching.,JON,e1-Winter is Coming,season-01,Game-of-Thrones
[We see NED and CATELYN STARK watching from above.],,e1-Winter is Coming,season-01,Game-of-Thrones
 And your mother.,JON,e1-Winter is Coming,season-01,Game-of-Thrones
[Scene shifts to needlework practice with the girls inside the castle.],,e1-Winter is Coming,season-01,Game-of-Thrones
" Fine work, as always. Well done.",SEPTA MORDANE (to SANSA),e1-Winter is Coming,season-01,Game-of-Thrones
 Thank you.,SANSA,e1-Winter is Coming,season-01,Game-of-Thrones
 I love the detail that you’ve managed to get in this corners. … Quite beautiful … the stitching …,SEPTA MORDANE,e1-Winter is Coming,season-01,Game-of-Thrones
"[As she murmurs to SANSA about the embroidery, ARYA struggles with her needlework and listens to the arrows hitting and the male laughter outside.]",,e1-Winter is Coming,season-01,Game-of-Thrones
"[Outside, BRAN tries and misses again. Everyone laughs.]",,e1-Winter is Coming,season-01,Game-of-Thrones
" And which one of you was a marksman at ten? Keep practicing, Bran. Go on.",NED,e1-Winter is Coming,season-01,Game-of-Thrones
" Don’t think too much, Bran.",JON,e1-Winter is Coming,season-01,Game-of-Thrones
 Relax your bow arm.,ROBB,e1-Winter is Coming,season-01,Game-of-Thrones
"[BRAN pulls the arrow back. An arrow hits the bullseye. BRAN (still with his arrow), JON, and ROBB turn in surprise to see ARYA, who curtsies after her perfect shot. ROBB and JON laugh as Bran takes out after ARYA.]",,e1-Winter is Coming,season-01,Game-of-Thrones
" Quick, Bran, faster!",JON/ROBB,e1-Winter is Coming,season-01,Game-of-Thrones
[RODRICK CASSEL and THEON GREYJOY approach NED and CATELYN on the balcony.],,e1-Winter is Coming,season-01,Game-of-Thrones
 Lord Stark. My lady. A guardsman just rode in from the hills. They’ve captured a deserter from the Night’s Watch.,CASSEL,e1-Winter is Coming,season-01,Game-of-Thrones
[NED grimaces.],,e1-Winter is Coming,season-01,Game-of-Thrones
 Get the lads to saddle their horses.,NED,e1-Winter is Coming,season-01,Game-of-Thrones
[THEON departs.],,e1-Winter is Coming,season-01,Game-of-Thrones
 Do you have to?,CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones
" He swore an oath, Cat.",NED,e1-Winter is Coming,season-01,Game-of-Thrones
" The law is law, my lady.",CASSEL,e1-Winter is Coming,season-01,Game-of-Thrones
" Tell Bran he’s coming, too.",NED,e1-Winter is Coming,season-01,Game-of-Thrones
[CASSEL nods and departs.],,e1-Winter is Coming,season-01,Game-of-Thrones
 Ned. Ten is too young to see such things.,CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones
 He won’t be a boy forever. And winter is coming.,NED,e1-Winter is Coming,season-01,Game-of-Thrones
"[NED departs. In the courtyard, ROBB and JON gather the arrows. CATELYN turns and glares down on JON. He looks at her and walks away.]",,e1-Winter is Coming,season-01,Game-of-Thrones
" Lad, go run back and get the rest.",ROBB,e1-Winter is Coming,season-01,Game-of-Thrones
"[Scene shifts, and we see WILL being taken to the block.]",,e1-Winter is Coming,season-01,Game-of-Thrones
" White Walkers. I saw the White Walkers. White Walkers. The White Walkers, I saw them.",WILL (muttering),e1-Winter is Coming,season-01,Game-of-Thrones
[He and NED face each other.],,e1-Winter is Coming,season-01,Game-of-Thrones
" I know I broke my oath. And I know I’m a deserter. I should have gone back to the Wall and warned them. But I saw what I saw. I saw the White Walkers. People need to know. If you can get word to my family, tell them I’m no coward. Tell them I’m sorry.",WILL,e1-Winter is Coming,season-01,Game-of-Thrones
"NED nods yes, and WILL is positioned on the tree limb that serves as a block. [NED draws Ice from a scabbard held by Theon.]",,e1-Winter is Coming,season-01,Game-of-Thrones
" Forgive me, lord.",WILL (whispering),e1-Winter is Coming,season-01,Game-of-Thrones
[NED bows his head over ICE.],,e1-Winter is Coming,season-01,Game-of-Thrones
" In the name of Robert of the House Baratheon, first of his name …",NED,e1-Winter is Coming,season-01,Game-of-Thrones
 Don’t look away.,JON (to BRAN),e1-Winter is Coming,season-01,Game-of-Thrones
 King of the Andals and the First Men …,NED,e1-Winter is Coming,season-01,Game-of-Thrones
 Father will know if you do.,JON,e1-Winter is Coming,season-01,Game-of-Thrones
" Lord of the Seven Kingdoms and protector of the realm, I, Eddard of the House Stark, Lord of Winterfell and Warden of the North, sentence you to die.",NED,e1-Winter is Coming,season-01,Game-of-Thrones
[NED swings ICE and beheads WILL. BRAN does not look away.],,e1-Winter is Coming,season-01,Game-of-Thrones
 You did well.,JON,e1-Winter is Coming,season-01,Game-of-Thrones
[He walks away. ROBB turns and puts his arm around BRAN and they go to their horses together. NED approaches BRAN.],,e1-Winter is Coming,season-01,Game-of-Thrones
 You understand why I did it?,NED,e1-Winter is Coming,season-01,Game-of-Thrones
 Jon said he was a deserter.,BRAN,e1-Winter is Coming,season-01,Game-of-Thrones
 But do you understand why I had to kill him?,NED,e1-Winter is Coming,season-01,Game-of-Thrones
 Our way is the old way?,BRAN,e1-Winter is Coming,season-01,Game-of-Thrones
 The man who passes the sentence should swing the sword.,NED,e1-Winter is Coming,season-01,Game-of-Thrones
 Is it true he saw the White Walkers?,BRAN,e1-Winter is Coming,season-01,Game-of-Thrones
 The White Walkers have been gone for thousands of years.,NED,e1-Winter is Coming,season-01,Game-of-Thrones
 So he was lying?,BRAN,e1-Winter is Coming,season-01,Game-of-Thrones
 A madman sees what he sees.,NED,e1-Winter is Coming,season-01,Game-of-Thrones
[Scene shifts to a dead stag’s head. The Winterfell men gather on the bridge They see a ravaged deer before them.],,e1-Winter is Coming,season-01,Game-of-Thrones
 What is it?,JON,e1-Winter is Coming,season-01,Game-of-Thrones
 Mountain lion?,THEON,e1-Winter is Coming,season-01,Game-of-Thrones
 There are no mountain lions in these woods.,NED,e1-Winter is Coming,season-01,Game-of-Thrones
"[With swords out, they begin to search. NED finds a dead direwolf with antlers through her throat. Her pups are whimpering around her.]",,e1-Winter is Coming,season-01,Game-of-Thrones
 It’s a freak.,THEON,e1-Winter is Coming,season-01,Game-of-Thrones
 It’s a direwolf.,NED,e1-Winter is Coming,season-01,Game-of-Thrones
[NED and CASSEL glance at each other.],,e1-Winter is Coming,season-01,Game-of-Thrones
 Tough old beast.,NED,e1-Winter is Coming,season-01,Game-of-Thrones
[He pulls out the antlers.],,e1-Winter is Coming,season-01,Game-of-Thrones
 There are no direwolves south of the Wall.,ROBB,e1-Winter is Coming,season-01,Game-of-Thrones
 Now there are five.,JON,e1-Winter is Coming,season-01,Game-of-Thrones
[Jon picks up a pup and offers it to BRAN.],,e1-Winter is Coming,season-01,Game-of-Thrones
 You want to hold it?,JON,e1-Winter is Coming,season-01,Game-of-Thrones
 Where will they go? Their mother’s dead.,BRAN,e1-Winter is Coming,season-01,Game-of-Thrones
 They don’t belong down here.,CASSEL,e1-Winter is Coming,season-01,Game-of-Thrones
 Better a quick death. They won’t last without their mother.,NED,e1-Winter is Coming,season-01,Game-of-Thrones
 Right. Give it here.,THEON,e1-Winter is Coming,season-01,Game-of-Thrones
 NO!,BRAN,e1-Winter is Coming,season-01,Game-of-Thrones
 Put away your blade.,ROBB (disgustedly to THEON),e1-Winter is Coming,season-01,Game-of-Thrones
" I take orders from your father, not you.",THEON,e1-Winter is Coming,season-01,Game-of-Thrones
" Please, father!",BRAN,e1-Winter is Coming,season-01,Game-of-Thrones
" I’m sorry, Bran.",NED,e1-Winter is Coming,season-01,Game-of-Thrones
 Lord Stark? There are five pups. One for each of the Stark children. The direwolf is the sigil of your House. They were meant to have them.,JON,e1-Winter is Coming,season-01,Game-of-Thrones
"[Everyone looks at NED, BRAN with great hope.]",,e1-Winter is Coming,season-01,Game-of-Thrones
" You will train them yourselves. You will feed them yourselves. And if they die, you will bury them yourselves.",NED,e1-Winter is Coming,season-01,Game-of-Thrones
[BRAN cradles his pup as JON hands more pups to ROBB.],,e1-Winter is Coming,season-01,Game-of-Thrones
 What about you?,BRAN (to JON),e1-Winter is Coming,season-01,Game-of-Thrones
 I’m not a Stark. Get on.,JON,e1-Winter is Coming,season-01,Game-of-Thrones
"[JON walks away, pauses, and hears another whimper.]",,e1-Winter is Coming,season-01,Game-of-Thrones
 What is it?,ROBB,e1-Winter is Coming,season-01,Game-of-Thrones
[JON pulls up a white wolf pup.],,e1-Winter is Coming,season-01,Game-of-Thrones
" The runt of the litter. That one’s yours, Snow.",THEON,e1-Winter is Coming,season-01,Game-of-Thrones
